,Unnamed: 0,AGEE,nombreEstado,AGEM,nombreMunicipio,CLG,nombreLocalidad,AGEB,manzana,CP,poblacionTotal,numeroKinder,numeroPrimaria,numeroSecundaria,numeroEduBasica,escolaridad,economicamenteActiva,solteros,casados,divorciados,totalHogares,poblacionHogares,totalViviendas,poblacionViviendas,promedioOcupacionVivienda,viviendasPisoNotierra,dosDorm,tresCuartos,serviciosDisponibles,internetPosesion,computadoraPosesion,automovilPosesion,celularPosesion,AGEB.1,AGEE.1,clase
0,0,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0229,1,20247.0,65,6.0,12.0,8.0,24.0,13.68,30.0,13.0,24.0,6.0,17.0,65.0,24,0.0,3.82,17.0,17.0,17.0,17.0,14.0,16.0,15.0,17.0,0229,1,0
1,5,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0229,7,20247.0,99,5.0,8.0,9.0,30.0,6.81,45.0,38.0,37.0,3.0,18.0,99.0,18,0.0,5.5,18.0,11.0,11.0,18.0,15.0,4.0,8.0,10.0,0229,1,3
2,6,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0229,8,20247.0,78,5.0,17.0,6.0,28.0,8.02,31.0,27.0,25.0,4.0,19.0,78.0,20,0.0,4.109999999999999,18.0,12.0,12.0,19.0,4.0,7.0,10.0,13.0,0229,1,3
3,7,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0229,10,20247.0,134,7.0,17.0,10.0,40.0,14.04,52.0,33.0,65.0,6.0,40.0,134.0,51,0.0,3.35,39.0,34.0,40.0,40.0,28.0,31.0,38.0,40.0,0229,1,1
4,17,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0233,1,20250.0,194,8.0,18.0,9.0,48.0,6.29,77.0,59.0,84.0,12.0,44.0,194.0,47,0.0,4.41,43.0,34.0,42.0,44.0,15.0,3.0,15.0,27.0,0233,1,1
5,19,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0233,5,20250.0,246,16.0,37.0,15.0,84.0,6.09,100.0,67.0,92.0,15.0,53.0,243.0,61,0.0,4.58,52.0,39.0,43.0,52.0,15.0,14.0,14.0,34.0,0233,1,1
6,21,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0233,7,20250.0,120,9.0,15.0,12.0,42.0,6.67,48.0,28.0,59.0,3.0,21.0,120.0,23,0.0,5.71,20.0,16.0,18.0,21.0,15.0,3.0,7.0,12.0,0233,1,0
7,22,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0233,8,20250.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0233,1,3
8,24,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0233,10,20250.0,26,6.0,5.0,3.0,11.0,8.2,12.0,7.0,8.0,3.0,8.0,26.0,11,0.0,3.25,8.0,6.0,7.0,8.0,15.0,3.0,4.0,6.0,0233,1,3
9,25,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,0233,12,20250.0,202,11.0,22.0,7.0,51.0,13.4,98.0,70.0,73.0,14.0,64.0,202.0,73,0.0,3.16,64.0,53.0,62.0,62.0,39.0,51.0,55.0,61.0,0233,1,4
